,Year,Life expectancy,Country
0,1960,33.275,China
1,1961,40.468,China
2,1962,50.818,China
3,1963,51.408,China
4,1964,52.156,China
5,1965,52.912,China
6,1966,53.637,China
7,1967,54.351,China
8,1968,55.057,China
9,1969,55.738,China
10,1970,56.607,China
11,1971,57.565,China
12,1972,58.418,China
13,1973,59.389,China
14,1974,60.168,China
15,1975,60.917,China
16,1976,61.796,China
17,1977,62.538,China
18,1978,63.218,China
19,1979,63.865,China
20,1980,64.42,China
21,1981,64.975,China
22,1982,65.463,China
23,1983,65.904,China
24,1984,66.3,China
25,1985,66.643,China
26,1986,66.97,China
27,1987,67.288,China
28,1988,67.581,China
29,1989,67.838,China
30,1990,68.005,China
31,1991,68.169,China
32,1992,68.734,China
33,1993,69.216,China
34,1994,69.52,China
35,1995,70.008,China
36,1996,70.266,China
37,1997,70.672,China
38,1998,71.172,China
39,1999,71.419,China
40,2000,71.881,China
41,2001,72.606,China
42,2002,72.985,China
43,2003,73.371,China
44,2004,73.748,China
45,2005,74.111,China
46,2006,74.504,China
47,2007,74.762,China
48,2008,74.872,China
49,2009,75.343,China
50,2010,75.599,China
51,2011,75.903,China
52,2012,76.192,China
53,2013,76.452,China
54,2014,76.717,China
55,2015,76.977,China
56,2016,77.218,China
57,2017,77.248,China
58,2018,77.744,China
59,2019,77.968,China
60,2020,78.077,China
61,2021,78.211,China
62,2022,,China
